Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
Baccarat online,13,1,477,3,active+inactive,""
Gaming club,13,0,167,1,только active,""
Jet Casino,13,0,92,1,только active,""
Gamble gala,12,0,44,2,только active,""
plinko,12,0,394,3,active+inactive,""
Wagering,11,71,910,3,active+inactive,""
Online roulette,11,0,112,1,только active,""
heavenly bonus,11,0,54,1,только active,""
football betting,11,0,79,1,только active,""
JackpotLand,11,0,113,1,только active,""
Le Bandit,10,4,472,3,active+inactive,""
888casino,10,1,545,3,active+inactive,""
Casino loyalty program,10,0,77,3,active+inactive,""
energy,10,0,1200,2,только inactive,active-срез не отработал
Gamble responsibly,10,0,164,2,active+inactive,""
Roulette wheel,10,0,58,1,только active,""
Gambling offers,10,0,185,1,только active,""
Vave,9,19,568,3,active+inactive,""
NetEnt,9,1,212,1,только active,""
prediction app,9,0,217,1,только active,""
Wager wave,8,176,1353,3,active+inactive,""
Bwin,8,3,248,3,active+inactive,""
Risk rally,8,0,207,1,только active,""
All in,7,0,400,1,только inactive,active-срез не отработал
Dealer's choice,7,0,400,1,только inactive,active-срез не отработал
Online betting,7,0,212,1,только active,""
Wild Tornado,6,111,736,3,active+inactive,""
virtual coins,6,10,533,3,active+inactive,""
Booi,6,2,190,3,active+inactive,""
hypertensive crisis,6,1,286,3,active+inactive,""
Bet9ja,6,0,418,3,active+inactive,""
Gangster City,6,0,254,2,только active,""
drop the candy,6,0,400,1,только inactive,active-срез не отработал
National Casino,6,0,228,1,только active,""
match predictor,6,0,72,1,только active,""
The Dog House,6,0,600,1,только inactive,active-срез не отработал
pink joker,6,0,70,2,только active,""
slimness,5,1,575,3,active+inactive,""
job,5,0,601,1,только inactive,active-срез не отработал
medical,5,0,600,1,только inactive,active-срез не отработал
family,5,0,400,1,только inactive,active-срез не отработал
RTP / High RTP,5,0,79,1,только active,""
beauty,5,0,400,1,только inactive,active-срез не отработал
Bet voyage,5,0,478,3,active+inactive,""
Le Cowboy,5,0,136,2,только active,""
Winning spree,4,6,474,3,active+inactive,""
Betsson,4,1,246,3,active+inactive,""
Gambling site,4,1,369,1,только active,""
Bigger Bass Bonanza,4,0,206,3,active+inactive,""
